txid worth
0x9c1fafdab039d3db86ad3e8e0e8eba7151f77cce8a55c45a50f09dd9b4f2ffa4 1000000000000000000.000000
0x898880b543a4d489cc0e26282a1e1d2cc506bda0ab0d3502a17696845c9028ff 1000000000000000000.000000
0x0ffcea9c1274c01e1231227a0dbe009b72ca00840c523d8342759ab57fe5f397 1000000000000000000.000000
0xe20b69c1c4aa663a17d5686d82f588f2198f0030417fcde17ea11af9d65822c1 1000000000000000000.000000
0x49b19a8b977269bd24d6d55d8ee90906d248c2fe3aa9ea787fc385c2a5d17aca 1000000000000000000.000000
0x753d5cef354d7a62c24c8795ba231197b242614ee5dca6530686d6b93c16702b 1000000000000000000.000000
0x72477a39e0ff43b11c70f6b481d7397be69efcc10e2b84cf7e9d0d012c6313a2 1000000000000000000.000000
0xbf959c59f8cb90ee3edec6208d7760d7a2096a8a0d800263c4ca22037ca8016c 1000000000000000000.000000
0xa06cdf3a9d80e3c5dfc5ba6cd29e2402ab5f8db5018ed4ccb75980c4d30a1325 1000000000000000000.000000
0x775b11880055400d8d73a706a74431f5ade3990dcaefcf1a21f3e559942d53d1 1000000000000000000.000000
0x6401f9ceb4568ebf7582619bf3ae508daade6ef5289b6b51415ec4ff060af07e 1000000000000000000.000000
0x0e812b1c361751bd40a35f313734950dabdce1973919dfa29937887f23d31c95 1000000000000000000.000000
0xd39e8594ae0fb47f4ae587d8b278a40e9fbaa79be3fa7f9e51c6122bfbe6c7c7 1000000000000000000.000000
0xb1a64d3a5ce2f31f8c6fa156e60da2cbd08a0b791a7fb7298eda139dbb29a730 1000000000000000000.000000
0xe1920e93f6878798b87f91e2a053e09e9e9fb13429a6f12997501c1e2194f635 1000000000000000000.000000
0x8b2227bcb604eaeeae13b3996a3696205fefcb91948ca963e1ddddb31b596c08 1000000000000000000.000000
0x3cc71c9ce92fb52857ebf4ea749f099b9e252fe9dc05a415cdd8ce275fc39f5e 1000000000000000000.000000
0x9f86f45bb3e92f4ad77c9c51c246e81449d115fe328cf496d778d7ac97124af6 1000000000000000000.000000
0x83a99111b07d041b551252e32067335b4e1350bb58c15e62d241ccabc5b40030 1000000000000000000.000000
0x5a4141ca517a65101e6b48f203d10b26b16978fdf85f8f529fe2d71e19be67e8 1000000000000000000.000000
0x249fa8c3050bef5fc6b1bc3c95e8f560ca4af695ebd3ebe3adc7a936a4b21916 1000000000000000000.000000
0x43d59ea109ddcee0e8b1448f1e50e38630a5f57e1d98675708b0cb734318c414 1000000000000000000.000000
